relation	concept	argument	metadata
property	cast	strength	weak	385	2gms,	0.000276578	1
property	cast	strength	feeble	40	2gms,	0.000167015	1
property	cast	strength	delicate	576	2gms,web1t,jjnnInGloss,nounAndItsGloss,	0.0129281	4
property	cast	strength	mighty	251	2gms,	0.00563361	1
property	cast	strength	rugged	5383	2gms,web1t,	0.12082	2
property	cast	strength	strong	21678	2gms,web1t,	0.486556	2
property	cast	strength	weak	385	2gms,	0.0086412	1
property	castor	strength	rugged	1	web1t,	0.00869565	1
property	castor	strength	strong	114	2gms,web1t,	0.991304	2
property	cattle	strength	feeble	1	web1t,	3.66475e-05	1
property	cellophane	strength	delicate	48	2gms,	0.369231	1
property	cellophane	strength	strong	82	2gms,	0.630769	1
property	chain	strength	delicate	6052	2gms,web1t,	0.262116	2
property	chain	strength	mighty	1128	2gms,web1t,	0.0488544	2
property	mountain chain	strength	mighty	56	3gms,	0.0024254	1
property	chain	strength	rugged	405	2gms,	0.0175408	1
property	mountain chain	strength	rugged	344	3gms,	0.0148989	1
property	chain	strength	strong	6834	2gms,web1t,	0.295985	2
property	chain	strength	weak	1685	2gms,web1t,gan,	0.0729785	3
property	chainsaw	strength	mighty	59	2gms,	0.440298	1
property	chainsaw	strength	rugged	75	2gms,	0.559702	1
property	chair	strength	delicate	99	2gms,	0.036762	1
property	chair	strength	mighty	84	2gms,	0.031192	1
property	chair	strength	rugged	75	2gms,	0.02785	1
property	chair	strength	strong	1547	2gms,web1t,	0.574452	2
property	chair	strength	weak	80	2gms,	0.0297066	1
property	chassis	strength	rugged	5050	2gms,	0.528796	1
property	chassis	strength	strong	1421	2gms,nounAndItsGloss,	0.148796	2
property	chassis	strength	weak	84	2gms,nounAndItsGloss,	0.00879581	2
property	tool chest	strength	strong	2	web1t,	0.000308356	1
property	chime	strength	delicate	341	2gms,	0.522205	1
property	bone china	strength	delicate	189	3gms,	0.0223483	1
property	churn	strength	weak	278	2gms,	0.855385	1
property	clasp	strength	delicate	163	2gms,web1t,	0.10369	2
property	clasp	strength	strong	923	2gms,web1t,nounAndItsGloss,	0.58715	3
property	cloak	strength	mighty	889	2gms,	0.729885	1
property	clutch	strength	mighty	55	2gms,	0.0822123	1
property	clutch	strength	strong	295	2gms,nounAndItsGloss,	0.440957	2
property	clutch	strength	weak	154	2gms,	0.230194	1
property	commuter	strength	rugged	124	2gms,	0.392405	1
property	commuter	strength	strong	192	2gms,	0.607595	1
property	compass	strength	mighty	59	2gms,	0.0315508	1
property	compass	strength	strong	64	2gms,	0.0342246	1
property	laptop computer	strength	rugged	982	3gms,web1t,	0.011105	2
property	laptop computer	strength	strong	45	3gms,	0.000508883	1
property	laptop computer	strength	weak	1	web1t,	1.13085e-05	1
property	condominium	strength	strong	156	2gms,	1	1
property	condo	strength	strong	323	2gms,	1	1
property	corkscrew	strength	strong	49	2gms,	1	1
property	cot	strength	rugged	2303	2gms,	0.923416	1
property	cot	strength	strong	95	2gms,	0.0380914	1
property	couch	strength	mighty	42	2gms,	0.976744	1
property	cove	strength	rugged	214	2gms,	1	1
property	cream	strength	delicate	2539	2gms,web1t,	0.356952	2
property	cream	strength	strong	201	2gms,	0.0282581	1
property	cross	strength	delicate	59	2gms,web1t,	0.0895296	2
property	cross	strength	rugged	154	2gms,	0.233687	1
property	cross	strength	strong	1	web1t,	0.00151745	1
property	crutch	strength	weak	72	2gms,web1t,	1	2
property	cylinder	strength	weak	190	2gms,	0.000628519	1
property	cylinder	strength	strong	289	2gms,	0.502609	1
property	cylinder	strength	weak	190	2gms,	0.330435	1
property	decanter	strength	delicate	94	2gms,web1t,	1	2
property	diaper	strength	strong	1	web1t,	0.0021978	1
property	dipole	strength	strong	1788	2gms,web1t,	0.555452	2
property	dipole	strength	weak	1431	2gms,	0.444548	1
property	dishwasher	strength	strong	131	2gms,web1t,	1	2
property	door	strength	weak	1295	2gms,web1t,	0.00028346	2
property	door	strength	mighty	693	2gms,web1t,	0.0908972	2
property	door	strength	rugged	76	2gms,web1t,	0.00996852	2
property	door	strength	strong	2572	2gms,web1t,	0.337356	2
property	door	strength	weak	1295	2gms,web1t,	0.169858	2
property	drum	strength	weak	218	2gms,	0.000279764	1
property	drum	strength	delicate	163	2gms,	0.0598165	1
property	drum	strength	mighty	390	2gms,	0.143119	1
property	drum	strength	rugged	191	2gms,	0.0700917	1
property	drum	strength	strong	1673	2gms,web1t,	0.613945	2
property	drum	strength	weak	218	2gms,	0.08	1
property	duffel	strength	rugged	108	2gms,	0.225	1
property	duffel	strength	strong	59	2gms,	0.122917	1
property	empty	strength	mighty	293	2gms,	0.429619	1
property	empty	strength	weak	111	2gms,	0.162757	1
property	enamel	strength	delicate	137	2gms,	0.0606195	1
property	nail enamel	strength	delicate	95	3gms,	0.0420354	1
property	enamel	strength	rugged	44	2gms,	0.019469	1
property	enamel	strength	strong	1343	2gms,web1t,	0.594248	2
property	enamel	strength	weak	174	2gms,	0.0769911	1
property	envelope	strength	delicate	81	2gms,	0.0362741	1
property	envelope	strength	strong	1093	2gms,web1t,	0.489476	2
property	envelope	strength	weak	47	2gms,	0.0210479	1
property	exhaust	strength	weak	107	2gms,	0.000436021	1
property	exhaust	strength	strong	313	2gms,	0.743468	1
property	exhaust	strength	weak	107	2gms,	0.254157	1
property	express	strength	strong	173	2gms,	0.302977	1
property	felt	strength	delicate	42	2gms,	0.003367	1
property	felt	strength	strong	868	2gms,	0.0695847	1
property	felt	strength	weak	113	2gms,	0.00905884	1
property	filament	strength	delicate	848	2gms,web1t,	0.609633	2
property	filament	strength	strong	368	2gms,	0.264558	1
property	flag	strength	feeble	109	2gms,web1t,	5.94868e-05	2
property	flag	strength	feeble	109	2gms,web1t,	0.00058593	2
property	flag	strength	delicate	40	2gms,	0.0652529	1
property	flag	strength	mighty	75	2gms,	0.122349	1
property	flag	strength	rugged	151	2gms,	0.24633	1
property	flag	strength	strong	156	2gms,	0.254486	1
property	flag	strength	weak	89	2gms,	0.145188	1
property	flash	strength	weak	187	2gms,web1t,	0.00019117	2
property	flash	strength	strong	412	2gms,web1t,	0.304059	2
property	flash	strength	weak	187	2gms,web1t,	0.138007	2
property	flute	strength	delicate	510	2gms,web1t,	0.73913	2
property	flute	strength	strong	129	2gms,	0.186957	1
property	foglamp	strength	strong	1	nounAndItsGloss,	1	1
property	frame	strength	feeble	1401	2gms,web1t,	0.000374696	2
property	frame	strength	weak	1351	2gms,web1t,nounAndItsGloss,	0.000361323	3
property	frame	strength	feeble	1401	2gms,web1t,	0.00334894	2
property	frame	strength	delicate	2683	2gms,	0.0698498	1
property	framing	strength	delicate	49	2gms,	0.00127568	1
property	frame	strength	mighty	3527	2gms,web1t,	0.0918227	2
property	frame	strength	rugged	3047	2gms,web1t,	0.0793262	2
property	frame	strength	strong	15290	2gms,nounAndItsGloss,web1t,jjnnInGloss,	0.398063	4
property	framing	strength	strong	499	2gms,web1t,	0.0129911	2
property	frame	strength	weak	1351	2gms,web1t,nounAndItsGloss,	0.0351722	3
property	framing	strength	weak	167	2gms,	0.00434771	1
property	fret	strength	mighty	55	2gms,web1t,	0.357143	2
property	fret	strength	strong	99	2gms,	0.642857	1
property	gearbox	strength	rugged	193	2gms,web1t,	0.753906	2
property	gearbox	strength	strong	63	2gms,	0.246094	1
property	generator	strength	strong	1247	2gms,web1t,	0.388958	2
property	generator	strength	weak	399	2gms,	0.124454	1
property	gingham	strength	delicate	67	2gms,web1t,	0.0403614	2
property	bell glass	strength	delicate	1	nounAndItsGloss,	5.97443e-05	1
property	gong	strength	mighty	47	2gms,	0.0381493	1
property	gong	strength	strong	55	2gms,	0.0446429	1
property	grille	strength	rugged	90	2gms,	0.195652	1
property	grille	strength	strong	91	2gms,web1t,	0.197826	2
property	guitar	strength	weak	236	2gms,	0.00018323	1
property	guitar	strength	delicate	2938	2gms,web1t,	0.285992	2
property	guitar	strength	mighty	469	2gms,	0.0456537	1
property	guitar	strength	rugged	266	2gms,web1t,	0.0258931	2
property	bass guitar	strength	strong	52	3gms,	0.00506181	1
property	guitar	strength	strong	5214	2gms,web1t,	0.507544	2
property	guitar	strength	weak	236	2gms,	0.0229728	1
property	halter	strength	strong	79	2gms,	0.556338	1
property	hamburger	strength	strong	47	2gms,	1	1
property	hammer	strength	delicate	92	2gms,	0.0173225	1
property	hammer	strength	mighty	4346	2gms,	0.818302	1
property	hammer	strength	rugged	206	2gms,web1t,	0.0387874	2
property	hammer	strength	strong	412	2gms,	0.0775748	1
property	hammock	strength	strong	46	2gms,	1	1
property	handlebar	strength	rugged	45	2gms,web1t,	1	2
property	harmonica	strength	strong	55	2gms,	1	1
property	harp	strength	delicate	1323	2gms,web1t,	0.883768	2
property	harp	strength	mighty	84	2gms,	0.0561122	1
property	harp	strength	strong	90	2gms,	0.0601202	1
property	headpiece	strength	delicate	57	2gms,web1t,	1	2
property	helmet	strength	mighty	706	2gms,	0.676245	1
property	helmet	strength	strong	338	2gms,web1t,	0.323755	2
property	hold	strength	feeble	360	2gms,	0.0018583	1
property	hold	strength	delicate	755	2gms,web1t,	0.0122744	2
property	hold	strength	mighty	330	2gms,web1t,	0.00536498	2
property	hold	strength	strong	55242	2gms,nounAndItsGloss,web1t,	0.898098	3
property	hold	strength	weak	1139	2gms,web1t,	0.0185173	2
property	honeycomb	strength	delicate	88	2gms,	0.24581	1
property	honeycomb	strength	strong	270	2gms,	0.75419	1
property	hook	strength	delicate	102	2gms,	0.0104626	1
property	hook	strength	mighty	467	2gms,	0.0479023	1
property	hook	strength	rugged	145	2gms,web1t,	0.0148733	2
property	hook	strength	strong	6800	2gms,web1t,	0.697507	2
property	hook	strength	weak	371	2gms,web1t,	0.0380552	2
property	hoover	strength	mighty	964	2gms,	1	1
property	horn	strength	weak	110	2gms,	0.000231612	1
property	horn	strength	delicate	138	2gms,	0.0431925	1
property	horn	strength	mighty	1547	2gms,	0.484194	1
property	horn	strength	strong	1156	2gms,web1t,	0.361815	2
property	horn	strength	weak	110	2gms,	0.0344288	1
property	horse	strength	feeble	141	2gms,web1t,	0.000525011	2
property	ipod	strength	delicate	182	2gms,web1t,	0.0411485	2
property	ipod	strength	mighty	446	2gms,	0.100837	1
property	ipod	strength	rugged	574	2gms,	0.129776	1
property	ipod	strength	strong	3010	2gms,web1t,	0.680534	2
property	bell jar	strength	delicate	1	nounAndItsGloss,	0.00261097	1
property	jeep	strength	mighty	47	2gms,	0.0537143	1
property	jeep	strength	rugged	782	2gms,web1t,	0.893714	2
property	jeep	strength	strong	46	2gms,	0.0525714	1
property	jig	strength	delicate	377	2gms,web1t,	1	2
property	kitten	strength	feeble	1	web1t,	6.72721e-05	1
property	kitty	strength	feeble	1	web1t,	2.12752e-05	1
property	kremlin	strength	strong	103	2gms,	1	1
property	lamp	strength	delicate	191	2gms,	0.00013772	1
property	lamp	strength	weak	244	2gms,	0.000175935	1
property	lamp	strength	feeble	448	2gms,web1t,	0.0043615	2
property	lamp	strength	delicate	191	2gms,	0.162139	1
property	lamp	strength	strong	567	2gms,web1t,	0.481324	2
property	lamp	strength	weak	244	2gms,	0.207131	1
property	lampshade	strength	delicate	1	web1t,	1	1
property	landrover	strength	rugged	2	web1t,	1	1
property	laptop	strength	feeble	61	2gms,	0.000102621	1
property	laptop	strength	rugged	19017	2gms,web1t,	0.961231	2
property	laptop	strength	strong	241	2gms,	0.0121816	1
property	laptop	strength	weak	67	2gms,web1t,	0.00338658	2
property	latch	strength	rugged	91	2gms,	0.0924797	1
property	latch	strength	strong	602	2gms,	0.611789	1
property	latch	strength	weak	123	2gms,	0.125	1
property	lemon	strength	weak	841	2gms,web1t,	0.00309673	2
property	lemon	strength	delicate	1511	2gms,web1t,	0.120149	2
property	lemon	strength	mighty	7876	2gms,web1t,	0.626272	2
property	lemon	strength	strong	1687	2gms,nounAndItsGloss,web1t,	0.134144	3
property	lemon	strength	weak	841	2gms,web1t,	0.0668734	2
property	lifeboat	strength	strong	1	nounAndItsGloss,	0.5	1
property	limited	strength	delicate	57	2gms,	0.001476	1
property	limited	strength	mighty	44	2gms,	0.00113937	1
property	limited	strength	strong	319	2gms,	0.0082604	1
property	limited	strength	weak	48	2gms,	0.00124294	1
property	power line	strength	strong	56	3gms,	0.000483826	1
property	lion	strength	feeble	60	2gms,	0.00417798	1
property	lipstick	strength	delicate	1	web1t,	1	1
property	lobster	strength	delicate	270	2gms,	0.391872	1
property	lobster	strength	strong	331	2gms,	0.480406	1
property	local	strength	feeble	117	2gms,	0.0001109	1
property	local	strength	delicate	233	2gms,	0.00188298	1
property	local	strength	mighty	96	2gms,	0.00077582	1
property	local	strength	rugged	120	2gms,	0.000969775	1
property	local	strength	strong	115308	2gms,	0.931857	1
property	local	strength	weak	7631	2gms,	0.0616696	1
property	locket	strength	delicate	82	2gms,	1	1
property	lock	strength	delicate	144	2gms,	0.0202874	1
property	lock	strength	mighty	84	2gms,	0.0118343	1
property	lock	strength	rugged	122	2gms,	0.0171879	1
property	lock	strength	strong	3822	2gms,web1t,	0.538462	2
property	lock	strength	weak	882	2gms,web1t,	0.12426	2
property	steam locomotive	strength	mighty	171	3gms,	0.332685	1
property	mailbox	strength	rugged	59	2gms,	0.531532	1
property	massif	strength	rugged	59	2gms,	1	1
property	mast	strength	mighty	1846	2gms,	0.852656	1
property	mast	strength	strong	319	2gms,web1t,	0.147344	2
property	mauser	strength	strong	40	2gms,	1	1
property	metronome	strength	mighty	76	2gms,	1	1
property	microphone	strength	delicate	54	2gms,	0.0355497	1
property	microphone	strength	rugged	966	2gms,web1t,	0.635945	2
property	microphone	strength	strong	65	2gms,	0.0427913	1
property	microphone	strength	weak	87	2gms,	0.0572745	1
property	microwave	strength	weak	1080	2gms,web1t,	0.00436498	2
property	microwave	strength	strong	1050	2gms,web1t,	0.476407	2
property	microwave	strength	weak	1080	2gms,web1t,	0.490018	2
property	miniskirt	strength	delicate	1	web1t,	0.2	1
property	miniskirt	strength	mighty	1	web1t,	0.2	1
property	miniskirt	strength	rugged	2	web1t,	0.4	1
property	miniskirt	strength	strong	1	web1t,	0.2	1
property	ministry	strength	delicate	58	2gms,	0.0043537	1
property	ministry	strength	mighty	440	2gms,	0.0330281	1
property	ministry	strength	strong	1658	2gms,web1t,	0.124456	2
property	ministry	strength	weak	310	2gms,web1t,	0.0232698	2
property	monument	strength	mighty	665	2gms,	0.939266	1
property	monument	strength	rugged	1	web1t,	0.00141243	1
property	mosaic	strength	delicate	446	2gms,web1t,	0.547912	2
property	mosaic	strength	strong	101	2gms,	0.124079	1
property	motorcycle	strength	mighty	74	2gms,	0.061309	1
property	motorcycle	strength	strong	166	2gms,web1t,nounAndItsGloss,	0.137531	3
property	mouthpiece	strength	strong	1	web1t,	1	1
property	muffler	strength	mighty	391	2gms,	0.876682	1
property	muffler	strength	rugged	55	2gms,web1t,	0.123318	2
property	nail	strength	weak	3800	2gms,web1t,	0.00511045	2
property	nail	strength	weak	3800	2gms,web1t,	0.00511045	2
property	nail	strength	feeble	496	2gms,	0.00377905	1
property	nail	strength	delicate	900	2gms,web1t,	0.0689285	2
property	nail	strength	strong	5542	2gms,web1t,	0.424447	2
property	nail	strength	weak	3800	2gms,web1t,	0.291032	2
property	nebuchadnezzar	strength	mighty	46	2gms,	1	1
property	oboe	strength	delicate	44	2gms,	1	1
property	orange	strength	delicate	3	web1t,	0.0205479	1
property	orange	strength	strong	78	2gms,web1t,	0.534247	2
property	otter	strength	strong	43	2gms,	1	1
property	pack	strength	mighty	284	2gms,web1t,	0.0435583	2
property	pack	strength	rugged	469	2gms,web1t,	0.0719325	2
property	pack	strength	strong	2098	2gms,web1t,	0.321779	2
property	pack	strength	weak	162	2gms,web1t,	0.0248466	2
property	palace	strength	delicate	40	2gms,	0.0526316	1
property	palace	strength	mighty	426	2gms,web1t,	0.560526	2
property	palace	strength	rugged	1	web1t,	0.00131579	1
property	palace	strength	strong	92	2gms,	0.121053	1
property	pallet	strength	strong	76	2gms,	0.589147	1
property	pediment	strength	delicate	2	web1t,	1	1
property	perfume	strength	delicate	4395	2gms,web1t,	0.430798	2
property	perfume	strength	strong	5482	2gms,web1t,	0.537346	2
property	piano	strength	feeble	1	web1t,	0.000228571	1
property	piano	strength	delicate	634	2gms,web1t,	0.998425	2
property	piano	strength	strong	1	web1t,	0.0015748	1
property	pier	strength	strong	67	2gms,	0.295154	1
property	pin	strength	delicate	632	2gms,web1t,	0.253002	2
property	pin	strength	strong	967	2gms,web1t,	0.38711	2
property	pin	strength	weak	112	2gms,nounAndItsGloss,	0.0448359	2
property	pinnacle	strength	rugged	69	2gms,	1	1
property	piston	strength	mighty	48	2gms,	0.169014	1
property	piston	strength	rugged	86	2gms,	0.302817	1
property	piston	strength	strong	150	2gms,	0.528169	1
property	plug	strength	rugged	87	2gms,	0.0998852	1
property	plug	strength	strong	272	2gms,	0.312285	1
property	plug	strength	weak	1	web1t,	0.00114811	1
property	portfolio	strength	strong	19386	2gms,web1t,	0.778867	2
property	portfolio	strength	weak	195	2gms,	0.00783447	1
property	potpourri	strength	delicate	131	2gms,web1t,	1	2
property	puck	strength	mighty	293	2gms,	0.581349	1
property	puck	strength	strong	132	2gms,	0.261905	1
property	purse	strength	delicate	69	2gms,web1t,	0.101173	2
property	purse	strength	mighty	46	2gms,	0.0674487	1
property	purse	strength	strong	113	2gms,web1t,	0.165689	2
property	quill	strength	mighty	118	2gms,	1	1
property	racket	strength	mighty	119	2gms,	0.983471	1
property	racket	strength	strong	2	web1t,	0.0165289	1
property	radiator	strength	strong	59	2gms,web1t,	0.546296	2
property	radiator	strength	weak	49	2gms,	0.453704	1
property	railing	strength	strong	85	2gms,	0.0468836	1
property	range	strength	feeble	69	2gms,web1t,	6.6597e-05	2
property	range	strength	delicate	551	2gms,web1t,	0.0313264	2
property	mountain range	strength	mighty	429	3gms,	0.0243902	1
property	range	strength	mighty	889	2gms,web1t,	0.050543	2
property	mountain range	strength	rugged	5125	3gms,	0.291375	1
property	range	strength	rugged	2721	2gms,web1t,	0.154699	2
property	range	strength	strong	3045	2gms,web1t,	0.17312	2
property	range	strength	weak	430	2gms,web1t,	0.0244471	2
